100,0.76,0.68,0.76,0.64
200,0.76,0.84,0.74,0.74
300,0.8,0.906666666667,0.76,0.706666666667
400,0.8,0.84,0.8,0.8
500,0.784,0.872,0.848,0.816
600,0.813333333333,0.946666666667,0.826666666667,0.833333333333
700,0.908571428571,0.931428571429,0.925714285714,0.897142857143
800,0.91,0.97,0.915,0.815
900,0.902222222222,0.955555555556,0.906666666667,0.871111111111
1000,0.928,0.96,0.94,0.916
1100,0.905454545455,0.963636363636,0.894545454545,0.865454545455
1200,0.906666666667,0.963333333333,0.916666666667,0.92
1300,0.929230769231,0.969230769231,0.935384615385,0.910769230769
1400,0.928571428571,0.965714285714,0.928571428571,0.914285714286
1500,0.933333333333,0.968,0.925333333333,0.898666666667
1600,0.905,0.9725,0.895,0.8675
1700,0.941176470588,0.983529411765,0.938823529412,0.915294117647
1800,0.908888888889,0.964444444444,0.908888888889,0.895555555556
1900,0.930526315789,0.966315789474,0.932631578947,0.896842105263
2000,0.914,0.956,0.924,0.89
2100,0.946666666667,0.971428571429,0.948571428571,0.927619047619
2200,0.927272727273,0.963636363636,0.927272727273,0.901818181818
2300,0.91652173913,0.973913043478,0.921739130435,0.914782608696
2400,0.936666666667,0.978333333333,0.94,0.93
2500,0.936,0.976,0.9424,0.904
2600,0.932307692308,0.983076923077,0.94,0.913846153846
2700,0.92,0.986666666667,0.928888888889,0.90962962963
2800,0.93,0.982857142857,0.941428571429,0.901428571429
2900,0.940689655172,0.975172413793,0.946206896552,0.918620689655
3000,0.921333333333,0.970666666667,0.922666666667,0.92
3100,0.927741935484,0.985806451613,0.926451612903,0.90064516129
3200,0.93625,0.985,0.94125,0.92375
3300,0.93696969697,0.990303030303,0.94303030303,0.913939393939
3400,0.925882352941,0.989411764706,0.931764705882,0.912941176471
3500,0.925714285714,0.976,0.928,0.917714285714
3600,0.932222222222,0.984444444444,0.934444444444,0.907777777778
3700,0.926486486486,0.988108108108,0.932972972973,0.91027027027
3800,0.925263157895,0.982105263158,0.931578947368,0.9
3900,0.931282051282,0.989743589744,0.932307692308,0.930256410256
4000,0.923,0.974,0.924,0.916
4100,0.940487804878,0.988292682927,0.941463414634,0.92487804878
4200,0.924761904762,0.981904761905,0.924761904762,0.907619047619
4300,0.919069767442,0.98976744186,0.923720930233,0.919069767442
4400,0.93,0.982727272727,0.925454545455,0.922727272727
4500,0.935111111111,0.980444444444,0.938666666667,0.923555555556
4600,0.930434782609,0.98347826087,0.938260869565,0.912173913043
4700,0.91829787234,0.984680851064,0.92170212766,0.914893617021
4800,0.93,0.9875,0.935,0.916666666667
4900,0.931428571429,0.978775510204,0.934693877551,0.922448979592
5000,0.9392,0.9856,0.9416,0.9352
5100,0.927058823529,0.986666666667,0.929411764706,0.925490196078
5200,0.932307692308,0.988461538462,0.933076923077,0.923846153846
5300,0.935094339623,0.993962264151,0.94641509434,0.936603773585
5400,0.937777777778,0.995555555556,0.940740740741,0.925925925926
5500,0.944727272727,0.992727272727,0.951272727273,0.933818181818
5600,0.934285714286,0.990714285714,0.943571428571,0.910714285714
5700,0.948771929825,0.989473684211,0.948070175439,0.934736842105
5800,0.944827586207,0.986896551724,0.948965517241,0.915172413793
